Date,Actual_Volatility,Predicted_Volatility,GARCH_Volatility
2024-02-23,0.039796556954053736,0.025868172,0.023751469558070604
2024-02-24,0.036655546819328026,0.025708621,0.0235968801733241
2024-02-25,0.03899909436583194,0.025053727,0.02359156529851747
2024-02-26,0.03790457360087554,0.024761487,0.023131450035689803
2024-02-27,0.04173793921324148,0.023158293,0.027698346129908524
2024-02-28,0.055615601680887486,0.02720567,0.030135374894099825
2024-02-29,0.04638959012760217,0.028528066,0.04008367090840516
2024-03-01,0.04457667508584316,0.039261542,0.03866538443903009
2024-03-02,0.04458321463661925,0.03880432,0.037183248428013634
2024-03-03,0.04403467016397492,0.03830002,0.03546507080620463
2024-03-04,0.044056353438749585,0.036470514,0.03420796872557656
2024-03-05,0.03677142269200522,0.032839004,0.040494914570302146
2024-03-06,0.018532439360388116,0.040802393,0.04412195362185569
2024-03-07,0.01682975135449552,0.04263745,0.043043426653424206
2024-03-08,0.02211284741202503,0.042304467,0.04087623946412763
2024-03-09,0.025438345231147044,0.040322367,0.03919232794993237
2024-03-10,0.03481849087944158,0.03806479,0.037214254728942214
2024-03-11,0.04009429378493364,0.037572987,0.0354566322644723
2024-03-12,0.034789454963061524,0.03510984,0.036290647805295326
2024-03-13,0.04552478381718178,0.036513545,0.03471357033378224
2024-03-14,0.06148622208190638,0.034756146,0.03374649820192469
2024-03-15,0.062130551880692546,0.03499925,0.03315411189094726
2024-03-16,0.062056687253586436,0.03517227,0.03302769993788275
2024-03-17,0.05831832764793157,0.03556432,0.037017397825957574
2024-03-18,0.05864666877228966,0.037259117,0.03784313667585475
2024-03-19,0.06045266615234475,0.037546564,0.03623417763258411
2024-03-20,0.045397907071090204,0.037783705,0.044114095825617525
2024-03-21,0.03146688156258362,0.0416019,0.0503867906696283
2024-03-22,0.02640012062057336,0.048189238,0.04890881224948378
2024-03-23,0.023380563302921795,0.046593763,0.0469321363499965
2024-03-24,0.02405721416781482,0.044771776,0.04431664361498565
2024-03-25,0.019182368583796496,0.043120403,0.044357925973356825
2024-03-26,0.016650955494323785,0.04131436,0.04359217652802956
2024-03-27,0.028839488112226898,0.041649546,0.041241380161235595
2024-03-28,0.029621369340383372,0.040931523,0.039187204829626725
2024-03-29,0.03308738562061517,0.039459284,0.03757689894758705
2024-03-30,0.033012254499729485,0.038241565,0.035983044154535966
2024-03-31,0.033853894913738754,0.036462307,0.0343182823967817
2024-04-01,0.03228221640245151,0.034523666,0.0335049521908547
2024-04-02,0.03356371346137544,0.034621753,0.03292530552968666
2024-04-03,0.024905350483032204,0.035094652,0.03731122387741756
2024-04-04,0.025381220298985034,0.038182493,0.035554459170101
2024-04-05,0.02268222903088638,0.035593152,0.03570151826189878
2024-04-06,0.02825980609312893,0.035330657,0.034206707979004096
2024-04-07,0.032616884360045985,0.033762082,0.03295667931190823
2024-04-08,0.03568061612817956,0.033723716,0.031575673905732786
2024-04-09,0.032099230261972915,0.03204981,0.03174860206512041
2024-04-10,0.032043389567667294,0.032985013,0.032514998331886764
2024-04-11,0.03009362054443202,0.033385325,0.031702862152798425
2024-04-12,0.03684524436353358,0.032953992,0.030523029252147765
2024-04-13,0.03519154306935529,0.032715484,0.0322461568752748
2024-04-14,0.030061303440236102,0.034467753,0.03498743786597917
2024-04-15,0.02760561509113291,0.035900835,0.03450159444440684
2024-04-16,0.025038245826603456,0.035497624,0.034904416220893304
2024-04-17,0.02559788943484421,0.034903843,0.03333254961066247
2024-04-18,0.023280420449940442,0.03459557,0.03443212252585581
2024-04-19,0.019455348093986323,0.034913044,0.03456157674427507
2024-04-20,0.02002038386987018,0.03442893,0.03301052443243712
2024-04-21,0.018384448498586253,0.033061743,0.03199007171816337
2024-04-22,0.018355672532461686,0.03236975,0.030666470852545917
2024-04-23,0.01369687361066127,0.03142866,0.0306763150109452
2024-04-24,0.021816130175666505,0.03164799,0.029570415578195435
2024-04-25,0.023084350234537126,0.03157701,0.030367231842654697
2024-04-26,0.024880885320536592,0.03194002,0.02919453562283549
2024-04-27,0.03752433738192459,0.031082511,0.028409796237588963
2024-04-28,0.03805480436253269,0.029706419,0.027505504360710465
2024-04-29,0.03796594643333383,0.028727233,0.02668543638976084
2024-04-30,0.038116538080904344,0.027896633,0.026066021047403874
2024-05-01,0.032006958277440205,0.028389253,0.03018503281168019
2024-05-02,0.027833883418747995,0.032667402,0.03175657858176682
2024-05-03,0.02910270103419072,0.0331315,0.030726869138403397
2024-05-04,0.022447206634999297,0.03038209,0.0349470647036246
2024-05-05,0.020756608827612533,0.033579685,0.03363688738936525
2024-05-06,0.02162441412978221,0.033396702,0.032150746721768216
2024-05-07,0.023821698875526577,0.0336677,0.031156884917432022
2024-05-08,0.02476728624185815,0.03338277,0.030245105473674455
2024-05-09,0.03627888650206275,0.032178342,0.029734650599018565
2024-05-10,0.036491581954165686,0.030501503,0.029957114262275226
2024-05-11,0.03217574522060034,0.031400107,0.031125649593920262
2024-05-12,0.032302909207340774,0.032196306,0.029877960968942387
2024-05-13,0.033547394507946936,0.030895857,0.028891622201258505
2024-05-14,0.041526722673804764,0.029638775,0.028678421169484436
2024-05-15,0.04103751525752606,0.029627051,0.028582022154968263
2024-05-16,0.03427855569337863,0.02839162,0.0355637301523261
2024-05-17,0.03445859432305901,0.035801873,0.034318825459253834
2024-05-18,0.03319232026396815,0.03433214,0.03375371838417508
2024-05-19,0.033226417097647974,0.034302283,0.03227031333950617
2024-05-20,0.03329581481267897,0.03402412,0.03111177807926834
2024-05-21,0.014189968795552845,0.030573187,0.0376052496409332
